id,first_name,second_name,web_name,status,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,selected_by_percent,selected_rank,selected_rank_type,form,form_rank,form_rank_type,event_points,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,points_per_game,points_per_game_rank,points_per_game_rank_type,chance_of_playing_next_round,chance_of_playing_this_round,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,set_piece_threat,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,gw,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution
5,Gabriel,dos Santos Magalhães,Gabriel,a,,,7.1,33,1.0,42.8,4,1.0,5.3,22.0,6.0,9,0,0.0,11,-11.0,27165,11094,0.7,21.5,6.3,5.8,6.7,2.0,1.0,100.0,100.0,24.0,10.0,248.0,71.0,132.0,24.0,92.0,23.0,,,,,,,,0.08,0.07,0.15,0.63,0.0,0.54,0.68,1.0,8.93,28,9.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,27.0,39081.0,38993.0,0.0,0.030000000000000027,0.5700000000000001,0.6000000000000001,1.049999999999999,6.600000000000023,0.5999999999999943,2.0,0.9000000000000057,4.0,7.0,4.0,11.0
11,Benjamin,White,White,d,Knock - 75% chance of playing,,5.1,227,30.0,0.5,262,97.0,0.0,759.0,257.0,0,0,0.0,-4,4.0,25,828,0.0,5.9,0.8,0.4,4.3,39.0,17.0,75.0,75.0,340.0,127.0,270.0,83.0,327.0,106.0,348.0,119.0,,,,,,,,0.09,0.11,0.2,1.35,0.0,0.66,0.88,1.1,7.92,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1866.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Maldini,Kacurri,Kacurri,u,has joined Morecambe on loan for the rest of the season.,,3.9,781,230.0,0.1,489,175.0,0.0,454.0,174.0,0,0,0.0,-1,1.0,0,8,0.0,0.0,0.0,0.0,0.0,571.0,208.0,0.0,0.0,561.0,208.0,550.0,208.0,519.0,202.0,563.0,208.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Josh,Nichols,Nichols,a,,,3.7,816,263.0,0.2,352,128.0,0.0,393.0,140.0,0,0,0.0,-3,3.0,875,479,0.0,0.0,1.0,0.5,0.0,518.0,182.0,,,507.0,181.0,491.0,178.0,459.0,171.0,509.0,181.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Bukayo,Saka,Saka,a,,,9.8,6,4.0,7.6,52,19.0,3.3,101.0,47.0,2,0,0.0,-2,2.0,12372,4452,0.3,12.3,4.3,3.8,4.8,22.0,12.0,100.0,100.0,68.0,19.0,8.0,8.0,7.0,2.0,6.0,4.0,2.0,2.0,1.0,,,,,0.33,0.28,0.61,0.62,0.0,0.4,0.79,0.99,7.54,28,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,18781.0,12679.0,0.0,0.009999999999999787,0.29000000000000004,0.29999999999999893,1.0500000000000007,4.199999999999989,14.399999999999977,2.0,2.1000000000000227,1.0,1.0,5.0,7.0
17,Martin,Ødegaard,Ødegaard,d,Knee injury - 75% chance of playing,,7.8,18,13.0,1.6,151,51.0,1.5,233.0,103.0,0,0,0.0,-2,2.0,582,1317,0.2,7.9,1.9,2.0,3.1,184.0,80.0,75.0,100.0,212.0,91.0,39.0,36.0,190.0,106.0,122.0,70.0,4.0,,3.0,,,,,0.08,0.24,0.32,1.08,0.0,0.34,0.93,1.09,6.81,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.0,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Noni,Madueke,Madueke,a,,,6.8,45,28.0,1.1,182,63.0,4.8,35.0,17.0,0,0,0.0,-2,2.0,1867,6512,0.7,7.5,5.8,5.3,2.7,244.0,103.0,100.0,100.0,274.0,117.0,127.0,87.0,83.0,51.0,156.0,83.0,3.0,,,,,,,0.1,0.21,0.31,0.94,0.0,0.54,0.76,1.19,4.99,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3642.0,19360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Gabriel,Martinelli Silva,Martinelli,a,,,6.8,46,29.0,0.9,197,69.0,2.2,175.0,81.0,1,0,0.0,-2,2.0,356,1604,0.3,6.2,3.2,2.7,1.8,374.0,161.0,100.0,100.0,304.0,138.0,217.0,142.0,71.0,42.0,206.0,103.0,,,,,,,,0.41,0.11,0.52,0.82,0.0,0.24,0.6,0.96,7.07,28,1.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,549.0,4859.0,0.0,0.0,0.010000000000000009,0.009999999999999787,0.21999999999999975,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
20,Leandro,Trossard,Trossard,a,,,6.7,48,30.0,1.0,189,68.0,2.5,147.0,65.0,1,0,0.0,-3,3.0,1581,3926,0.4,14.6,3.5,3.0,3.9,81.0,40.0,100.0,100.0,114.0,36.0,38.0,35.0,36.0,20.0,38.0,28.0,,,4.0,,,,,0.26,0.14,0.4,0.63,0.0,0.44,0.77,0.98,6.07,28,1.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,3196.0,9150.0,0.0,0.020000000000000462,0.06000000000000005,0.08000000000000007,0.8300000000000001,0.4000000000000341,0.30000000000001137,5.0,0.6000000000000085,0.0,0.0,4.0,4.0
21,Declan,Rice,Rice,d,Knock - 75% chance of playing,,7.5,22,15.0,33.0,9,3.0,5.2,26.0,11.0,5,-1,1.0,10,-10.0,34027,53315,0.7,20.9,4.7,5.7,5.6,7.0,5.0,75.0,100.0,12.0,3.0,3.0,3.0,89.0,56.0,8.0,6.0,1.0,1.0,,,,,,0.11,0.23,0.34,0.63,0.0,0.45,0.79,1.01,11.18,28,5.0,75.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,54458.0,144245.0,0.0,0.040000000000000036,0.23999999999999932,0.28000000000000114,1.0,1.7999999999999545,1.2000000000000455,0.0,0.29999999999998295,3.0,2.0,2.0,7.0
