id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
1,a,,,6.0,86,1.0,0,0.0,5,-5.0,34.6,7,1.0,112,3,4.0,72.0,7.0,5,450,3.3,96.0,10.0,0.6,18.7,0.0,3933699,7936,2237080,30465,3.8,4.3,0.0,0.05,0.05,19.38,0.0,0.0,0.0,0.69,410.6,97.0,16.0,33.4,367.0,3.0,0.0,809.0,94.0,44.5,257.0,15.0,,,,27,,David,Raya Martín,Raya,,,2520,0,0,13,21,0,0,0,1,0,41,28,94,,,,1.46,0.46,0.75,1.0,0.0,1,25,239
7,a,100.0,100.0,5.6,132,14.0,0,0.0,1,-1.0,6.3,59,20.0,86,0,4.3,47.0,21.0,4,308,1.5,238.0,86.0,0.3,15.4,0.0,2628537,903,2419380,10444,2.0,2.5,2.77,0.4,3.17,7.79,0.19,0.03,0.22,0.52,228.6,229.0,88.0,109.3,235.0,64.0,230.0,101.0,12.0,56.8,210.0,70.0,,,,27,,Riccardo,Calafiori,Calafiori,,,1347,1,2,10,8,0,0,0,5,0,0,17,130,,,,0.0,0.67,0.53,1.14,6.08,30,61,59
8,a,100.0,100.0,6.4,59,2.0,0,0.0,9,-9.0,29.1,12,3.0,127,3,4.7,23.0,8.0,7,471,3.0,128.0,46.0,0.5,19.8,0.0,6445543,10582,3499473,98370,3.5,4.0,4.3,1.44,5.74,14.76,0.17,0.06,0.23,0.59,453.0,74.0,34.0,369.5,55.0,8.0,348.0,57.0,1.0,117.4,43.0,4.0,,,,27,,Jurriën,Timber,J.Timber,,,2235,2,5,12,19,0,0,0,5,0,0,25,156,,,,0.0,0.48,0.77,1.01,5.07,58,68,91
9,u,0.0,0.0,5.4,174,20.0,0,0.0,-1,1.0,0.0,589,210.0,0,0,0.0,800.0,265.0,0,0,0.0,779.0,261.0,0.0,0.0,0.0,1119,0,10889,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,265.0,0.0,799.0,265.0,0.0,797.0,265.0,0.0,800.0,265.0,,,,27,,Jakub,Kiwior,Kiwior,has joined Porto on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
10,a,,,5.1,238,35.0,0,0.0,-4,4.0,1.4,160,63.0,12,0,0.9,506.0,175.0,0,36,0.0,761.0,257.0,0.0,2.4,0.0,133733,269,463011,616,0.5,1.0,0.05,0.06,0.11,5.26,0.01,0.02,0.03,1.52,31.2,427.0,160.0,45.5,347.0,120.0,18.0,384.0,136.0,9.4,416.0,150.0,,,,27,,Myles,Lewis-Skelly,Lewis-Skelly,,,311,0,0,0,5,0,0,0,3,0,0,1,21,,,,0.0,0.0,1.45,0.29,4.05,4,10,14
11,d,75.0,100.0,5.1,227,30.0,0,0.0,-4,4.0,0.5,258,96.0,30,0,4.3,44.0,19.0,3,112,0.2,377.0,135.0,0.0,5.9,0.0,346729,143,401821,1074,0.5,1.2,0.43,0.49,0.92,6.13,0.09,0.11,0.2,1.35,111.4,332.0,125.0,92.7,265.0,82.0,46.0,320.0,103.0,25.0,343.0,117.0,,,,27,,Benjamin,White,White,Knock - 75% chance of playing,,409,0,1,3,4,0,0,0,0,0,0,5,40,,,,0.0,0.66,0.88,1.1,7.92,13,23,18
13,a,,,3.8,809,257.0,0,0.0,-2,2.0,0.4,272,100.0,0,0,0.0,531.0,196.0,0,0,0.0,411.0,158.0,0.0,0.0,0.0,51561,73,77591,196,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,195.0,0.0,509.0,195.0,0.0,475.0,187.0,0.0,523.0,195.0,,,,27,,Brayden,Clarke,Clarke,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
14,u,0.0,0.0,3.9,780,229.0,0,0.0,-1,1.0,0.1,489,175.0,0,0,0.0,570.0,208.0,0,0,0.0,452.0,172.0,0.0,0.0,0.0,10218,0,22593,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,207.0,0.0,549.0,207.0,0.0,515.0,199.0,0.0,562.0,207.0,,,,27,,Maldini,Kacurri,Kacurri,has joined Morecambe on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
15,a,,,3.7,815,262.0,0,0.0,-3,3.0,0.2,354,128.0,0,0,0.0,516.0,182.0,0,0,0.0,390.0,138.0,0.0,0.0,0.0,25269,769,27227,325,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,180.0,0.0,490.0,177.0,0.0,455.0,168.0,0.0,507.0,180.0,,,,27,,Josh,Nichols,Nichols,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
16,d,75.0,100.0,9.8,6,4.0,0,0.0,-2,2.0,7.6,51,18.0,119,5,5.0,15.0,9.0,13,451,3.3,97.0,42.0,0.3,12.1,0.0,3997399,7427,4999931,6787,2.8,4.3,6.71,5.36,12.07,11.44,0.35,0.28,0.63,0.6,491.2,66.0,19.0,680.6,8.0,8.0,698.0,5.0,2.0,187.2,5.0,4.0,2.0,,1.0,27,,Bukayo,Saka,Saka,Knock - 75% chance of playing,,1725,5,8,8,15,0,0,0,1,0,0,19,145,,,,0.0,0.42,0.78,0.99,7.57,32,19,94
